PDGnumb,PosX,PosY,PosZ,Momentum[GeV],theta,phi
13,-168.708,413.668,1400,0.233464,2.9297,3.28476
-13,-242.166,-280.644,1400,0.86434,2.34544,6.25861
-13,295.548,-317.981,1400,0.52691,2.44855,1.76715
-13,327.748,-33.6569,1400,0.935711,2.62813,0.439697
13,-335.386,225.872,1400,4.0357,2.51678,0.591901
-13,-208.482,337.583,1400,1.42805,2.63582,1.21049
-13,-254.897,-219.515,1400,8.38344,2.22867,5.94681
-13,-364.284,-310.305,1400,4.99235,2.40582,5.13151
-13,211.206,-445.896,1400,0.248166,2.77833,6.23835
13,28.0417,384.018,1400,0.487527,2.70535,1.10304
-13,116.837,469.98,1400,0.858958,2.19004,5.50768
-13,274.966,360.093,1400,2.01839,2.36018,2.57964
-13,350.533,205.339,1400,8.25267,2.38947,2.59638
13,268.351,185.424,1400,0.244041,2.07423,6.19448
13,-447.987,-206.926,1400,6.33636,2.6986,0.617066
13,-452.013,153.729,1400,5.2355,2.58825,1.45885
-13,76.9477,109.676,1400,1.84302,2.51416,0.975058
13,28.7027,247.719,1400,3.5205,2.21925,2.53865
13,-246.089,-107.698,1400,0.963854,2.32214,4.02525
13,78.6347,222.255,1400,6.56578,2.83294,0.740628
13,-232.488,399.738,1400,5.24293,2.83963,5.31836
13,-54.6781,54.5939,1400,0.305963,2.62787,0.278073
-13,-82.7585,324.491,1400,0.0336412,2.5838,3.50718
13,213.337,-382.674,1400,17.7565,2.20644,1.60397
13,453.499,288.58,1400,0.170067,2.5283,3.68443
-13,248.021,372.339,1400,1.40226,2.81673,5.2638
13,-120.035,-102.573,1400,3.36966,2.21621,3.44838
13,152.524,5.38731,1400,5.85041,2.59624,4.1179
13,-264.083,356.676,1400,0.358439,2.93885,2.75523
-13,311.816,-485.881,1400,3.52524,2.69048,3.31628
-13,163.686,-157.813,1400,1.18471,2.5857,2.70631
13,-265.687,-108.939,1400,0.243418,2.25397,2.9533
-13,-324.187,145.572,1400,0.0579701,2.34104,4.73449
13,-453.725,0.982967,1400,9.57929,2.71835,2.0527
13,382.824,312.635,1400,0.375909,2.44189,2.78467
13,-160.986,-250.459,1400,3.90509,2.74748,0.696362
13,15.6154,-122.686,1400,0.0880379,2.89945,0.0525199
13,236.448,28.7092,1400,0.614838,2.14779,2.19714
-13,-51.4278,225.945,1400,1.2235,2.84379,1.12578
