event_no,PDGnumb,PosX,PosY,PosZ,time,volume_ref,volume_no
7663,13,-82.718,-341.628,1100.5,2.06069,1,0
7664,-13,-70.937,165.153,1300.5,0.458707,1,4
7664,-13,-83.0603,208.248,1250.5,0.687573,1,3
7664,-13,-95.321,251.4,1200.5,0.91665,1,2
7664,-13,-107.747,294.849,1150.5,1.14393,1,1
7664,-13,-107.857,295.233,1150.06,1.1465,1,1
7664,-13,-119.983,338.571,1100.5,1.37687,1,0
7665,13,13.3725,390.916,1300.5,0.383196,1,4
7665,13,-5.1934,370.417,1250.5,0.573884,1,3
7665,13,-23.7374,349.907,1200.5,0.764561,1,2
7665,13,-42.2916,329.359,1150.5,0.955295,1,1
7665,13,-60.8592,308.837,1100.5,1.14601,1,0
7666,13,-405.759,-170.553,1300.5,0.350583,1,4
7666,13,-410.277,-182.674,1250.5,0.525119,1,3
7666,13,-414.876,-195.052,1200.5,0.699892,1,2
7666,13,-419.524,-207.456,1150.5,0.874699,1,1
7666,13,-424.138,-220.019,1100.5,1.04963,1,0
7667,-13,-271.542,-302.926,1300.5,0.757196,1,4
7667,-13,-334.659,-320.079,1250.5,1.14098,1,3
7667,-13,-399.161,-338.153,1200.5,1.53362,1,2
7667,-13,-462.203,-357.844,1150.5,1.92558,1,1
7668,13,40.0615,341.782,1300.5,0.368615,1,4
7668,13,29.043,361.647,1250.5,0.552054,1,3
7668,13,18.0239,381.497,1200.5,0.735473,1,2
7668,13,6.98137,401.423,1150.5,0.919003,1,1
7668,13,-4.07878,421.387,1100.5,1.10259,1,0
7669,13,381.439,-280.732,1300.5,0.366607,1,4
7669,13,383.551,-280.717,1250.5,0.549098,1,3
7669,13,385.496,-280.8,1200.5,0.731628,1,2
7669,13,386.812,-281.427,1150.5,0.914154,1,1
7669,13,388.087,-281.937,1100.5,1.09681,1,0
7670,13,-128.951,223.618,1300.5,0.344551,1,4
7670,13,-122.021,233.188,1250.5,0.515963,1,3
7670,13,-115.094,242.752,1200.5,0.68737,1,2
7670,13,-108.162,252.311,1150.5,0.858775,1,1
7670,13,-101.235,261.849,1100.5,1.03017,1,0
7671,-13,-271.33,-109.278,1300.5,0.383674,1,4
7671,-13,-289.555,-130.063,1250.5,0.57464,1,3
7671,-13,-307.836,-150.815,1200.5,0.765625,1,2
7671,-13,-326.095,-171.597,1150.5,0.956623,1,1
7671,-13,-344.334,-192.351,1100.5,1.14756,1,0
7672,13,-361.877,226.362,1300.5,0.405749,1,4
7672,13,-355.732,245.692,1250.5,0.607561,1,3
7672,13,-349.92,265.61,1200.5,0.810129,1,2
7672,13,-343.778,285.101,1150.5,1.01233,1,1
7672,13,-337.575,303.672,1100.5,1.2134,1,0
7673,13,-47.9875,199.099,1300.5,0.343636,1,4
7673,13,-55.3056,207.194,1250.5,0.514657,1,3
7673,13,-62.6543,215.275,1200.5,0.685684,1,2
7673,13,-70.0233,223.327,1150.5,0.856705,1,1
7673,13,-77.3915,231.391,1100.5,1.02773,1,0
7674,-13,74.6294,25.2319,1300.5,0.662783,1,4
7674,-13,128.048,91.5621,1250.5,0.988952,1,3
7674,-13,128.553,92.1891,1250.03,0.992429,1,3
7674,-13,181.538,157.793,1200.5,1.32198,1,2
7674,-13,235.159,224.087,1150.5,1.65192,1,1
7674,-13,288.663,290.374,1100.5,1.98162,1,0
7675,13,308.628,324.239,1300.5,0.537624,1,4
7675,13,248.017,308.297,1250.5,0.805059,1,3
7675,13,187.385,292.356,1200.5,1.07255,1,2
7675,13,126.743,276.426,1150.5,1.34006,1,1
7675,13,66.1271,260.494,1100.5,1.60283,1,0
7675,13,65.9736,260.454,1100.37,1.6075,1,0
7676,13,-119.079,25.6279,1300.5,0.343943,1,4
7676,13,-130.216,22.9189,1250.5,0.515058,1,3
7676,13,-141.354,20.2077,1200.5,0.686175,1,2
7676,13,-152.494,17.4943,1150.5,0.857292,1,1
7676,13,-163.631,14.774,1100.5,1.02841,1,0
7677,13,220.727,-233.629,1300.5,0.349244,1,4
