event_no,X,Y,Z,angle
0.0,-162.89112390834396,362.91778272302287,706.0968367643685,0.039441550076884366
1.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0
11.0,-2.848594460268224,-306.74786464038766,-118.12584328189564,0.024438983585776702
12.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0
18.0,366.90627651470845,-159.44886190136646,-226.9307234802281,0.023109560629010137
19.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0
23.0,379.9285916518137,370.46156071121453,368.1236707412803,0.030942865930653096
24.0,0.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0
26.0,-127.72189091218482,-64.52041941508477,16.36583107743843,0.015796293118505462
27.0,0.0,0.0,0.0,0.0
28.0,22.596731483050903,316.9228572287202,138.31084616625688,0.06736141839437888
29.0,-48.035076957666064,-264.09169673749744,-167.30512383956957,0.019168095349956796
30.0,0.0,0.0,0.0,0.0
31.0,0.0,0.0,0.0,0.0
32.0,303.0531574445311,223.10599565882225,77.54551921611107,0.04796035404190807
33.0,0.0,0.0,0.0,0.0
34.0,0.0,0.0,0.0,0.0
35.0,0.0,0.0,0.0,0.0
36.0,0.0,0.0,0.0,0.0
37.0,0.0,0.0,0.0,0.0
38.0,0.0,0.0,0.0,0.0
39.0,0.0,0.0,0.0,0.0
40.0,0.0,0.0,0.0,0.0
41.0,0.0,0.0,0.0,0.0
42.0,232.95923499185344,351.9532029721456,534.8068253204428,0.051882389244467135
43.0,0.0,0.0,0.0,0.0
44.0,0.0,0.0,0.0,0.0
45.0,0.0,0.0,0.0,0.0
46.0,0.0,0.0,0.0,0.0
47.0,0.0,0.0,0.0,0.0
48.0,0.0,0.0,0.0,0.0
49.0,0.0,0.0,0.0,0.0
50.0,0.0,0.0,0.0,0.0
51.0,0.0,0.0,0.0,0.0
52.0,398.86013261908363,-19.879918293141138,68.52071546471592,0.004452174221000631
53.0,0.0,0.0,0.0,0.0
54.0,0.0,0.0,0.0,0.0
55.0,0.0,0.0,0.0,0.0
56.0,0.0,0.0,0.0,0.0
57.0,0.0,0.0,0.0,0.0
58.0,0.0,0.0,0.0,0.0
59.0,0.0,0.0,0.0,0.0
60.0,0.0,0.0,0.0,0.0
61.0,0.0,0.0,0.0,0.0
62.0,0.0,0.0,0.0,0.0
63.0,0.0,0.0,0.0,0.0
64.0,0.0,0.0,0.0,0.0
65.0,0.0,0.0,0.0,0.0
66.0,0.0,0.0,0.0,0.0
67.0,0.0,0.0,0.0,0.0
68.0,0.0,0.0,0.0,0.0
69.0,0.0,0.0,0.0,0.0
70.0,-78.32962492141074,-139.05866012345683,-147.81326824523484,0.01754401371183374
71.0,0.0,0.0,0.0,0.0
72.0,0.0,0.0,0.0,0.0
73.0,0.0,0.0,0.0,0.0
74.0,0.0,0.0,0.0,0.0
75.0,394.21651143811584,-831.6815984254954,-2216.028649074032,0.07412916622283819
76.0,0.0,0.0,0.0,0.0
77.0,0.0,0.0,0.0,0.0
78.0,503.5684379244983,497.2355888696818,1751.6843260648252,0.10666103205278299
79.0,1075.9627024249644,-622.570513003301,-1301.3234039413321,0.0004547804252302299
80.0,0.0,0.0,0.0,0.0
81.0,-215.9829495615561,-455.38592687148633,-263.0405449812828,0.006623889514568837
82.0,726.7292639505871,454.107047013295,-762.3898666423719,0.02532633209121977
83.0,0.0,0.0,0.0,0.0
84.0,0.0,0.0,0.0,0.0
85.0,104.41305435630802,19.879523986408664,-1170.7725785944808,0.0026920755681685473
86.0,0.0,0.0,0.0,0.0
87.0,0.0,0.0,0.0,0.0
88.0,0.0,0.0,0.0,0.0
89.0,0.0,0.0,0.0,0.0
90.0,912.4328944528697,477.49415359791936,-1071.553428523613,0.002733836518688361
91.0,-21.869716449412408,109.96780512206095,-101.36957000278795,0.045998904121660925
92.0,0.0,0.0,0.0,0.0
93.0,0.0,0.0,0.0,0.0
94.0,-186.5207422469826,20.29680567386343,-440.4029473990065,0.01177980305396585
95.0,0.0,0.0,0.0,0.0
96.0,0.0,0.0,0.0,0.0
97.0,0.0,0.0,0.0,0.0
98.0,0.0,0.0,0.0,0.0
99.0,0.0,0.0,0.0,0.0
100.0,-474.84238224605747,-85.35632906250305,-38.4571104933957,0.13750337388984846
101.0,0.0,0.0,0.0,0.0
102.0,0.0,0.0,0.0,0.0
103.0,-239.20978817771635,-663.392711739355,-1378.0281398571342,0.007185475485679369
104.0,0.0,0.0,0.0,0.0
105.0,117.93821897673654,-436.77871775658036,129.58564968403334,0.007493732876372274
106.0,0.0,0.0,0.0,0.0
107.0,445.330900461709,305.68171437520465,-1.1028826966106635,0.01191424381209393
108.0,-132.1978401416039,-189.4324700510934,-257.6046238871071,0.08370274780625339
109.0,0.0,0.0,0.0,0.0
110.0,0.0,0.0,0.0,0.0
111.0,0.0,0.0,0.0,0.0
112.0,0.0,0.0,0.0,0.0
113.0,91.2986018268227,2.808101051511926,224.1544936611584,0.00746899347325192
114.0,0.0,0.0,0.0,0.0
115.0,0.0,0.0,0.0,0.0
116.0,0.0,0.0,0.0,0.0
117.0,0.0,0.0,0.0,0.0
118.0,0.0,0.0,0.0,0.0
119.0,0.0,0.0,0.0,0.0
120.0,0.0,0.0,0.0,0.0
121.0,0.0,0.0,0.0,0.0
122.0,0.0,0.0,0.0,0.0
123.0,0.0,0.0,0.0,0.0
124.0,0.0,0.0,0.0,0.0
125.0,0.0,0.0,0.0,0.0
126.0,0.0,0.0,0.0,0.0
127.0,0.0,0.0,0.0,0.0
128.0,43.2674422780654,255.01210754530135,196.81642167885425,0.1056859521813062
129.0,-333.35618944756385,-53.94580145580155,2126.694381976334,0.010424524768268743
130.0,0.0,0.0,0.0,0.0
131.0,0.0,0.0,0.0,0.0
132.0,0.0,0.0,0.0,0.0
133.0,-64.82587009512713,477.1781231316556,79.33406017419452,0.0011830672346512566
134.0,0.0,0.0,0.0,0.0
135.0,0.0,0.0,0.0,0.0
136.0,-549.9243011804084,190.24073274038832,-878.3033603511988,0.02717121175643879
137.0,0.0,0.0,0.0,0.0
138.0,0.0,0.0,0.0,0.0
139.0,0.0,0.0,0.0,0.0
140.0,-81.53362121190604,-390.0086490158896,111.66047715412009,0.06591252527129124
141.0,0.0,0.0,0.0,0.0
142.0,0.0,0.0,0.0,0.0
143.0,0.0,0.0,0.0,0.0
144.0,0.0,0.0,0.0,0.0
145.0,0.0,0.0,0.0,0.0
146.0,0.0,0.0,0.0,0.0
147.0,-221.89134045004067,32.35448206868577,315.4186385001209,0.003075169804157321
148.0,0.0,0.0,0.0,0.0
149.0,0.0,0.0,0.0,0.0
150.0,0.0,0.0,0.0,0.0
151.0,142.01142693032654,-327.2860703165801,-466.70941317377856,0.007734676450744315
